com_id,label,regis_cap,month_fou,industry_code,region
阿坝鲲鹏物流有限公司,0,5.0,16,5,aba
黑水三兰木家庭农场（个人独资）,0,60.0,15,1,aba
四川省卡斯达温文化传媒有限公司,0,30.0,8,6,aba
阿坝州国亿工程机械租赁有限责任公司,0,20.0,19,3,aba
黑水县晴扎粮经作物种植农民专业合作社,0,10.0,10,1,aba
壤塘县尕尔玛食品小店（个体工商户）,0,1.0,4,4,aba
壤塘县川丰机械租赁有限公司,0,10.0,19,3,aba
壤塘县头单自助火锅店（个体工商户）,0,35.0,16,2,aba
壤塘县润生高原中草药经营部（个体工商户）,0,5.0,15,0,aba
阿坝县锦福达商贸有限公司,0,3.0,10,0,aba
黑水县扬次格西机械租赁店（个体工商户）,0,2.0,6,3,aba
黑水县唐姐百货有限责任公司,0,5.0,20,0,aba
四川省阿坝壤塘县泽让劳务信息咨询服务有限责任公司,1,30.0,15,3,aba
黑水县啊啦啦家庭农场（个人独资）,0,88.0,16,1,aba
阿坝县仁瑄荣商贸有限公司,0,3.0,9,0,aba
黑水县郎基家庭农场（个人独资）,0,28.0,19,1,aba
四川阿坝县阿柯仓中草药销售农民专业合作社,0,20.0,16,0,aba
阿坝县玛朵绿色种养殖有限责任公司,1,12.6,15,1,aba
阿坝县乐尚酒店管理有限责任公司,0,10.0,12,3,aba
中壤塘游客接待中心,0,60.0,19,2,aba
壤塘县玖源新能源科技有限公司,0,10.0,15,4,aba
阿坝县洛米洛伊商贸有限公司,0,6.0,10,0,aba
黑水嘉绒仓储经营部（个体工商户）,0,20.0,5,5,aba
黑水奥太雪山家庭农场（个人独资）,0,36.0,16,1,aba
阿坝藏韵农舍家庭农场（个人独资）,0,20.0,8,1,aba
黑水三奥雪山藏韵特产坊（个体工商户）,0,2.0,5,0,aba
阿坝县利客生活超市（个体工商户）,0,10.0,19,0,aba
壤塘县零食驾到店（个体工商户）,0,5.0,14,0,aba
阿坝县渝英烟酒店（个体工商户）,0,8.0,8,2,aba
阿坝县佳欣缘百货店（个体工商户）,0,5.0,19,0,aba
黑水县扎西东作家庭农场（个人独资）,0,10.0,17,1,aba
阿坝斯总机械租赁有限公司,0,20.0,15,3,aba
壤塘县银宙综合批发部（个体工商户）,0,5.0,15,0,aba
阿坝县鑫途电动车有限责任公司,0,20.0,10,4,aba
阿坝州措曲运输有限责任公司,0,1.0,12,5,aba
四川省阿坝州华茸农业开发有限公司,0,10.0,18,1,aba
黑水县穆荣家庭农场（个人独资）,0,20.0,18,1,aba
阿坝县菩然茶叶销售有限责任公司,0,50.0,10,4,aba
四川省三隆建筑工程机械租赁有限责任公司,0,50.0,11,2,aba
黑水阿泽通讯代理店（个体工商户）,0,1.0,20,0,aba
阿坝县五十六朵雪宝宝托育服务有限公司,0,30.0,19,3,aba
阿坝县桑格让俄体育场馆管理馆（个体工商户）,0,20.0,8,6,aba
阿坝县红浩酒店管理有限公司,0,30.0,7,3,aba
阿坝县阿军五金配件经营店（个体工商户）,0,2.0,18,0,aba
壤塘县益乐格萨尔王文化传承中心（个体工商户）,0,50.0,15,6,aba
阿坝县众仁康保健服务馆（个人独资）,0,1.0,12,3,aba
阿坝县如是民宿酒店（个体工商户）,0,30.0,6,2,aba
壤塘县青丝坊美容美发中心（个人独资）,0,5.0,7,3,aba
壤塘县聚福综合批发零售店（个体工商户）,0,20.0,8,0,aba
四川省壤塘县日柯庆食品销售有限责任公司,0,2.0,19,0,aba
四川壤塘县杨老五食品销售有限责任公司,0,2.0,19,0,aba
阿坝县格登汽车维修店（个体工商户）,0,20.0,8,3,aba
壤塘县添辰餐馆（个体工商户）,0,5.0,7,2,aba
壤塘县念胜商贸中心（个体工商户）,0,10.0,6,0,aba
黑水三奥仙境民宿（个体工商户）,0,5.0,5,2,aba
黑水县森宝家庭农场（个人独资）,0,98.0,15,1,aba
四川省阿坝州壤塘县热窝中药材种植农民专业合作社,0,20.0,15,4,aba
四川省神山营户外运动有限公司,0,6.0,11,6,aba
阿坝县丰维慧勤农业有限公司,0,5.0,10,1,aba
壤塘县壤拉百货店（个体工商户）,0,10.0,7,0,aba
黑水茸氏兽药经营部（个人独资）,0,2.0,16,0,aba
阿坝县天泰鸿网络有限公司,0,3.0,8,9,aba
壤塘县红英蔬菜有限责任公司,0,5.0,13,0,aba
黑水县阿朱家庭农场（个人独资）,0,10.0,18,1,aba
四川省六金物流有限责任公司,0,20.0,11,5,aba
壤塘县霞妹饭店（个体工商户）,0,6.8,5,2,aba
阿坝县尕玛阿丹石材工艺经营商行（个体工商户）,0,10.0,4,0,aba
壤塘县锋锐建材销售部,0,20.0,19,3,aba
壤塘县博亚百货销售有限责任公司,0,10.0,13,0,aba
黑水拉姆种植家庭农场（个人独资）,0,8.5,18,1,aba
壤塘县上壤塘乡海子山雪域农民专业合作社,0,11.0,15,4,aba
阿坝县佳选副食零售便利店（个体工商户）,0,20.0,14,0,aba
阿坝县惠多多食品便利店（个体工商户）,0,10.0,14,0,aba
壤塘县隆兴百货店（个体工商户）,0,20.0,14,0,aba
吉美（壤塘）文化艺术交流有限责任公司,0,50.0,13,6,aba
壤塘县格平藏医诊所（个人独资）,0,50.0,11,13,aba
阿坝县阿诺玛球馆篮球培训馆（个体工商户）,0,10.0,20,6,aba
壤塘县四维空间网吧（个人独资）,0,11.0,18,10,aba
阿坝县勤锦业商贸有限公司,0,2.0,9,0,aba
阿坝县乐小二宜创生活超市店（个体工商户）,0,10.0,5,0,aba
黑水县宝盛种植农民专业合作社,0,50.0,19,1,aba
壤塘县基尔巴百货商店（个体工商户）,0,10.0,15,0,aba
壤塘县兰卡五金建筑材料店（个体工商户）,0,10.0,12,0,aba
阿坝县宗巴雅姆餐厅（个体工商户）,0,50.0,8,2,aba
阿坝县飞帆电动车销售店（个体工商户）,0,8.0,7,3,aba
壤塘县供销社农资综合服务宗科便民店,0,10.0,19,0,aba
黑水达木家庭场（个人独资）,0,30.0,20,1,aba
阿坝县睿智佳托育服务有限公司,0,30.0,19,3,aba
黑水赵瑞种养殖农民专业合作社,0,50.0,13,1,aba
阿坝县雪域营地餐饮文化吧（个人独资）,0,10.0,10,6,aba
阿坝县已见山民宿酒店（个体工商户）,0,10.0,10,2,aba
阿坝县博锐丰种养殖有限公司,0,10.0,7,1,aba
壤塘县鸿锦岗木达镇物流中心（个人独资）,0,3.0,6,5,aba
阿坝县丹增服装店（个体工商户）,0,70.0,4,4,aba
黑水顺发装饰店（个体工商户）,0,20.0,18,7,aba
阿坝县刊商百货店（个体工商户）,0,15.0,16,0,aba
壤塘县梦熙澜庭商务酒店（个人独资）,0,9.6,12,2,aba
阿坝县福惠正商贸有限公司,0,3.0,10,0,aba
黑水县自由人家家庭农场（个人独资）,0,5.0,10,1,aba
阿坝县如锦华农业信息咨询有限公司,0,2.0,8,3,aba
阿坝县忆达藏毯百货店（个体工商户）,0,20.0,8,0,aba
壤塘县阿斯玛百货商店（个体工商户）,0,20.0,6,0,aba
阿坝县诚智蔬菜水果店（个体工商户）,0,8.0,4,0,aba
壤塘县浙景酒水销售有限公司,0,10.0,19,0,aba
黑水县鼎信五金店（个体工商户）,0,8.0,18,0,aba
壤塘县鸿锦石里乡物流中心（个人独资）,0,3.0,6,5,aba
阿坝县各莫镇惠利劳务专业合作社,0,1.0,20,1,aba
壤塘拾光部落旅游服务社（个体工商户）,0,5.0,17,3,aba
黑水皖美窗帘店（个体工商户）,0,50.0,16,0,aba
阿坝县椿田理娱乐吧（个人独资）,0,90.0,10,6,aba
阿坝县阿泽便利店（个体工商户）,0,20.0,9,0,aba
黑水鑫达植物油批发部（个体工商户）,0,3.0,8,0,aba
黑水嘉宜无人便利店（个体工商户）,0,5.0,8,0,aba
壤塘县跟地道服装店（个体工商户）,0,30.0,7,0,aba
壤塘县鸿锦茸木达乡物流中心（个人独资）,0,3.0,6,5,aba
壤塘县仁妹蔬菜水果店（个体工商户）,0,8.0,20,2,aba
壤塘县泽央摩托维修店（个体工商户）,0,2.0,15,3,aba
阿坝县陆叁柒汽车美容店（个体工商户）,0,20.0,13,3,aba
阿坝县仟芊办公家具销售店（个人独资）,0,30.0,9,0,aba
阿坝县瑞盈通农副产品商贸有限公司,0,5.0,7,0,aba
壤塘县鸿锦上攘塘乡物流中心（个人独资）,0,3.0,7,5,aba
壤塘县鸿锦蒲西物流中心（个人独资）,0,3.0,6,5,aba
壤塘县雪域臻源食品有限责任公司,0,50.0,19,0,aba
阿坝县小祖宗童装经营店（个体工商户）,1,10.0,16,0,aba
壤塘楷博电子商务有限公司,0,10.0,12,2,aba
阿坝县诺威尕偲护肤品经营店（个体工商户）,0,28.0,8,0,aba
壤塘县鸿锦中攘塘物流中心（个人独资）,0,3.0,7,5,aba
壤塘县鸿锦上杜柯乡物流中心（个人独资）,0,3.0,7,5,aba
黑水三奥攀山舍客栈（个体工商户）,0,5.0,7,2,aba
壤塘县鸿锦南木达镇物流中心（个人独资）,0,3.0,6,5,aba
壤塘县鸿锦宗科乡物流中心（个人独资）,0,3.0,6,5,aba
壤塘县沐沐泽泽休闲食品店（个人独资）,0,1.0,19,0,aba
壤塘县海添蔬菜店（个体工商户）,0,6.0,15,0,aba
黑水县森鹿酒店（个体工商户）,0,68.0,14,2,aba
黑水罗嘉家庭农场（个人独资）,0,6.0,12,1,aba
阿坝县飞诺诚农业信息咨询有限公司,0,3.0,8,3,aba
壤塘县上杜柯乡藏地花香电子商务中心（个人独资）,0,2.0,7,0,aba
壤塘县鸿锦尕多乡物流中心（个人独资）,0,3.0,7,5,aba
阿坝县玛吉阿妈食品销售店（个体工商户）,0,2.0,8,4,aba
壤塘县鸿锦吾伊乡物流中心（个人独资）,0,3.0,7,5,aba
阿坝县财之源百货店（个体工商户）,0,6.0,20,0,aba
四川绿波食品有限公司,1,50.0,18,0,aba
阿坝县南木色种植家庭农场（个体工商户）,0,70.0,10,1,aba
黑水天岩机载机械租赁有限公司,0,50.0,10,3,aba
壤塘县岗木达镇电子商务中心（个人独资）,0,2.0,7,0,aba
壤塘县宗科乡藏地花香电子商务中心（个人独资）,0,2.0,7,1,aba
阿坝县无处不在商店（个体工商户）,0,5.0,6,0,aba
阿坝县宝盛道吉服装经营店（个体工商户）,0,10.0,7,6,aba
壤塘县蒲西达木电子商务中心（个人独资）,0,2.0,7,0,aba
壤塘县中攘塘镇藏地电子商务中心（个人独资）,0,2.0,7,0,aba
壤塘县尕多乡藏地花香电子商务中心（个人独资）,0,2.0,7,0,aba
黑水县灸贤堂家庭农场（个人独资）,0,10.0,4,1,aba
壤塘县麦田坊生活馆有限公司,0,10.0,19,0,aba
阿坝县大勇牦牛肉销售有限公司,0,10.0,14,0,aba
阿坝县麦尔玛镇平安劳务专业合作社,0,1.0,20,1,aba
阿坝县柯河乡下玛荣劳务专业合作社,0,5.0,20,3,aba
黑水额拉木家庭农场（个人独资）,0,20.0,20,1,aba
阿坝县聚福宝洲珠宝首饰经营行（个体工商户）,0,3.0,16,0,aba
阿坝县聚慧宝洲珠宝首饰经营行（个体工商户）,0,3.0,16,0,aba
壤塘县好再来小卖部（个体工商户）,0,15.0,16,0,aba
阿坝县高原之星餐饮文化吧（个人独资）,0,10.0,12,6,aba
壤塘县仁妹果蔬店（个体工商户）,0,8.0,7,0,aba
阿坝县泽让欧真日用百货店（个体工商户）,0,2.0,15,0,aba
阿坝县风笛商务服务有限公司,0,10.0,10,0,aba
壤塘县茸木达乡电子商务中心（个人独资）,0,2.0,7,0,aba
阿坝县悦旭湖商贸有限公司,0,5.0,7,0,aba
阿坝县龙达亚卓手机配件店（个体工商户）,0,9.0,4,10,aba
黑水芳邻便利店（个体工商户）,0,10.0,20,0,aba
黑水谢春水果店（个体工商户）,0,5.0,20,0,aba
阿坝县启福美家庭农场（个体工商户）,0,10.0,18,1,aba
阿坝县好友五金日杂店（个体工商户）,0,10.0,16,0,aba
阿坝县师兄汽修厂（个体工商户）,0,8.0,16,3,aba
壤塘县央庆百货商店（个体工商户）,0,5.0,16,0,aba
黑水县祥旺家庭农场（个人独资）,0,5.0,10,1,aba
阿坝县宝远讯商贸有限公司,0,2.0,8,0,aba
阿坝县阿炯甲桑服装店（个体工商户）,0,50.0,8,0,aba
阿坝县珍珍名店服装店（个体工商户）,0,40.0,4,0,aba
黑水康珠百货店（个人独资）,0,9.0,9,0,aba
黑水县格让蔬菜种植农民专业合作社,0,25.0,18,1,aba
阿坝县乐园便利店（个体工商户）,0,10.0,16,0,aba
阿坝县博源瑞商贸有限公司,0,6.0,9,4,aba
壤塘县石里乡电子商务中心（个人独资）,0,2.0,7,0,aba
阿坝县尚福旭种养殖有限公司,0,5.0,7,1,aba
阿坝县诺热桑波服装店（个体工商户）,0,25.0,7,0,aba
阿坝县昇达日杂用品店（个体工商户）,0,10.0,5,0,aba
阿坝县悠品铺子百货销售铺（个体工商户）,0,6.0,19,0,aba
壤塘县卓力特常联系手机店（个体工商户）,0,5.0,18,0,aba
阿坝县桑吉桑日用品经营店（个体工商户）,0,5.0,14,0,aba
阿坝县鹏达户外服装店（个体工商户）,0,10.0,12,0,aba
阿坝县运欣欣农副产品商贸有限公司,0,3.0,8,0,aba
壤塘县吾依乡电子商务中心（个人独资）,0,2.0,7,0,aba
黑水县之韵网络科技店（个体工商户）,0,50.0,6,10,aba
黑水山野行露营点（个体工商户）,0,10.0,4,2,aba
黑水高军茶坊（个人独资）,0,30.0,9,2,aba
阿坝县兰驿居民宿酒店（个体工商户）,0,10.0,16,2,aba
壤塘县索郎多小卖部（个体工商户）,0,5.0,14,0,aba
壤塘县菲芘演艺厅（个体工商户）,0,80.0,12,0,aba
阿坝县虫虫尕莫服装经销店（个体工商户）,0,50.0,10,4,aba
壤塘县南木达镇电子商务中心（个人独资）,0,2.0,7,0,aba
壤塘县欣欣电子商务中心（个人独资）,0,2.0,7,0,aba
阿坝县奢菲季护肤用品店（个体工商户）,0,5.0,4,3,aba
阿坝县稻田人家咖啡店（个体工商户）,0,3.0,19,2,aba
黑水彩林雪山向导俱乐部（个体工商户）,0,10.0,18,3,aba
阿坝县客拉亚藏餐店（个体工商户）,0,10.0,17,2,aba
黑水县鑫亿诚酒店厨具设备经营部（个体工商户）,0,40.0,15,0,aba
壤塘县萨隅拉姆服装店（个体工商户）,0,10.0,13,0,aba
